time,close,index,duration,epsilon,capital,episode,step,position,entry_price,exit_price,trade_len,pnl_ratio
2020-09-21 07:00:00,10959.75,521.0,59.2,0.0032,10552.06,54.0,7.0,-1.0,10920.28,10959.75,6.0,-0.36
2020-09-21 15:00:00,10590.06,529.0,59.1,0.0032,10506.01,55.0,7.0,1.0,10636.47,10590.06,2.0,-0.44
2020-09-21 20:00:00,10444.05,534.0,33.63,0.0031,10445.91,56.0,4.0,-1.0,10384.64,10444.05,2.0,-0.57
2020-09-22 04:00:00,10468.55,542.0,59.91,0.003,10455.12,57.0,7.0,-1.0,10477.79,10468.55,6.0,0.09
2020-09-22 12:00:00,10458.4,550.0,59.63,0.0029,10451.91,58.0,7.0,1.0,10461.61,10458.4,5.0,-0.03
2020-09-22 15:00:00,10473.43,553.0,16.91,0.0028,10465.91,59.0,2.0,-1.0,10487.47,10473.43,1.0,0.13
2020-09-22 23:00:00,10547.17,561.0,59.67,0.0028,10369.67,60.0,7.0,-1.0,10451.07,10547.17,6.0,-0.92
2020-09-23 07:00:00,10473.22,569.0,59.49,0.0027,10425.2,61.0,7.0,-1.0,10529.61,10473.22,6.0,0.54
2020-09-23 15:00:00,10495.85,577.0,59.43,0.0026,10492.39,62.0,7.0,1.0,10428.64,10495.85,6.0,0.64
2020-09-23 23:00:00,10252.22,585.0,59.87,0.0026,10696.77,63.0,7.0,-1.0,10455.89,10252.22,4.0,1.95
2020-09-24 02:00:00,10290.84,588.0,17.3,0.0025,10748.35,64.0,2.0,1.0,10241.46,10290.84,1.0,0.48
2020-09-24 10:00:00,10315.83,596.0,59.88,0.0025,10721.48,65.0,7.0,-1.0,10290.11,10315.83,6.0,-0.25
2020-09-24 18:00:00,10672.2,604.0,59.66,0.0024,11031.47,66.0,7.0,1.0,10372.31,10672.2,6.0,2.89
2020-09-24 22:00:00,10626.73,608.0,25.17,0.0024,11003.42,67.0,3.0,1.0,10653.82,10626.73,1.0,-0.25
2020-09-25 06:00:00,10677.05,616.0,59.27,0.0023,11090.68,68.0,7.0,-1.0,10762.4,10677.05,6.0,0.79
2020-09-25 14:00:00,10615.48,624.0,59.19,0.0023,11075.53,69.0,7.0,1.0,10630.0,10615.48,1.0,-0.14
2020-09-25 18:00:00,10651.34,628.0,25.83,0.0022,11098.22,70.0,3.0,1.0,10629.56,10651.34,2.0,0.2
2020-09-26 02:00:00,10649.86,636.0,58.94,0.0022,11155.78,71.0,7.0,-1.0,10705.38,10649.86,6.0,0.52
2020-09-26 10:00:00,10691.0,644.0,57.09,0.0021,11112.84,72.0,7.0,1.0,10732.31,10691.0,2.0,-0.38
2020-09-26 18:00:00,10749.19,652.0,57.76,0.0021,11141.64,73.0,7.0,1.0,10721.4,10749.19,6.0,0.26
2020-09-27 02:00:00,10775.53,660.0,58.25,0.002,11189.03,74.0,7.0,1.0,10729.9,10775.53,6.0,0.43
2020-09-27 10:00:00,10647.72,668.0,57.22,0.002,11050.75,75.0,7.0,1.0,10780.95,10647.72,4.0,-1.24
2020-09-27 18:00:00,10720.35,676.0,57.78,0.002,10995.45,76.0,7.0,-1.0,10666.97,10720.35,4.0,-0.5
2020-09-28 02:00:00,10887.71,684.0,57.54,0.0019,10820.14,77.0,7.0,-1.0,10716.84,10887.71,3.0,-1.59
2020-09-28 08:00:00,10868.73,690.0,41.74,0.0019,10792.97,78.0,5.0,1.0,10896.09,10868.73,2.0,-0.25
2020-09-28 16:00:00,10861.01,698.0,57.29,0.0019,10832.64,79.0,7.0,-1.0,10901.08,10861.01,2.0,0.37
2020-09-29 00:00:00,10867.0,706.0,58.15,0.0018,10835.05,80.0,7.0,-1.0,10869.41,10867.0,2.0,0.02
2020-09-29 05:00:00,10689.94,711.0,32.86,0.0018,10855.77,81.0,4.0,-1.0,10710.43,10689.94,3.0,0.19
2020-09-29 09:00:00,10726.99,715.0,24.69,0.0018,10808.9,82.0,3.0,-1.0,10680.87,10726.99,2.0,-0.43
2020-09-29 13:00:00,10758.92,719.0,24.58,0.0017,10846.56,83.0,3.0,1.0,10721.56,10758.92,2.0,0.35
2020-09-29 16:00:00,10759.91,722.0,16.59,0.0017,10844.13,84.0,2.0,-1.0,10757.5,10759.91,1.0,-0.02
2020-09-29 21:00:00,10737.49,727.0,33.06,0.0017,10853.98,85.0,4.0,1.0,10727.75,10737.49,1.0,0.09
2020-09-30 05:00:00,10742.08,735.0,57.49,0.0016,10882.43,86.0,7.0,-1.0,10770.31,10742.08,6.0,0.26
2020-09-30 13:00:00,10681.0,743.0,57.73,0.0016,10900.39,87.0,7.0,-1.0,10698.66,10681.0,6.0,0.17
2020-09-30 21:00:00,10706.48,751.0,59.33,0.0016,10941.77,88.0,7.0,-1.0,10747.28,10706.48,5.0,0.38
2020-10-01 05:00:00,10798.18,759.0,61.88,0.0016,10852.63,89.0,7.0,-1.0,10710.92,10798.18,6.0,-0.81
2020-10-01 13:00:00,10903.16,767.0,63.41,0.0015,10770.3,90.0,7.0,-1.0,10821.07,10903.16,6.0,-0.76
2020-10-01 21:00:00,10617.74,775.0,63.43,0.0015,11010.56,91.0,7.0,-1.0,10860.0,10617.74,6.0,2.23
2020-10-02 05:00:00,10649.06,783.0,63.01,0.0015,10944.24,92.0,7.0,-1.0,10585.3,10649.06,6.0,-0.6
2020-10-02 09:00:00,10490.88,787.0,28.27,0.0015,10894.59,93.0,3.0,-1.0,10443.5,10490.88,2.0,-0.45
2020-10-02 16:00:00,10522.13,794.0,55.67,0.0014,10983.84,94.0,6.0,1.0,10436.63,10522.13,3.0,0.82
2020-10-03 00:00:00,10551.02,802.0,63.51,0.0014,10976.2,95.0,7.0,-1.0,10543.69,10551.02,6.0,-0.07
2020-10-03 06:00:00,10558.01,808.0,45.54,0.0014,10955.43,96.0,5.0,-1.0,10538.07,10558.01,3.0,-0.19
2020-10-03 14:00:00,10535.54,816.0,61.89,0.0014,10963.66,97.0,7.0,1.0,10527.64,10535.54,3.0,0.08
2020-10-03 22:00:00,10565.02,824.0,59.78,0.0014,10973.03,98.0,7.0,-1.0,10574.06,10565.02,2.0,0.09
2020-10-04 06:00:00,10565.83,832.0,60.35,0.0013,10965.37,99.0,7.0,-1.0,10558.46,10565.83,6.0,-0.07
2020-10-04 13:00:00,10600.75,839.0,53.35,0.0013,10952.89,100.0,6.0,1.0,10612.83,10600.75,4.0,-0.11
2020-10-04 16:00:00,10604.45,842.0,17.88,0.0013,10959.29,101.0,2.0,-1.0,10610.65,10604.45,1.0,0.06
